Code,Entity,Cantril_ladder_satisfaction_score,happiness_rank,personal_freedom,economic_freedom,overall_score,freedom_rank,gni_rank,2017_GNI
PRY,Paraguay,5.566658210754396,94.0,7.201110373777777,6.796666666666667,6.998888520222221,90.0,91.0,5470.0
QAT,Qatar,6.5689818382263185,139.0,5.420315459428571,7.46,6.440157729714286,49.0,6.0,60510.0
ROU,Romania,5.630086771647135,99.0,8.682346627333333,7.515555555555555,8.098951091444444,130.0,65.0,10000.0
RUS,Russia,5.514491866616642,92.0,6.201915415666666,6.598888888888889,6.400402152277778,46.0,68.0,9220.0
RWA,Rwanda,3.6097554138728554,5.0,6.680666764,7.27888888888889,6.979777826444445,88.0,174.0,720.0
SAU,Saudi Arabia,6.534693044774673,138.0,4.4785012832857145,6.522857142857142,5.500679213071429,17.0,38.0,20090.0
SDN,Sudan,4.378741168975832,31.0,4.246047171,5.36,4.8030235855,5.0,135.0,2380.0
SEN,Senegal,4.522735372185705,41.0,6.628458791666667,6.052222222222222,6.340340506944446,45.0,159.0,1240.0
SGP,Singapore,6.494144884745279,136.0,7.428659629777777,8.77888888888889,8.103774259333333,131.0,10.0,54530.0
SLE,Sierra Leone,4.054858769689288,16.0,6.584694780111111,6.053333333333333,6.319014056722222,41.0,183.0,510.0
SLV,El Salvador,5.9682527149424835,116.0,7.131888982333333,7.245555555555555,7.188722268944443,101.0,121.0,3560.0
SRB,Serbia,5.362939707438151,84.0,7.778085575111111,6.653333333333332,7.215709454222221,103.0,95.0,5180.0
SUR,Suriname,6.26928663253784,129.0,7.613502414857144,6.619999999999999,7.116751207428571,96.0,96.0,5150.0
SVK,Slovakia,6.106308732713972,121.0,8.730864235222223,7.412222222222222,8.071543228722222,128.0,44.0,16650.0
SVN,Slovenia,6.119199307759604,122.0,8.812398098888888,6.934444444444444,7.873421271666667,123.0,36.0,22030.0
SWE,Sweden,7.369994556202608,159.0,9.383868994444445,7.507777777777779,8.445823386111112,152.0,12.0,52270.0
SWZ,Eswatini,4.435794258117676,37.0,5.811850279,6.4799999999999995,6.145925139499998,34.0,130.0,2950.0
TCD,Chad,4.0774688720703125,18.0,5.636701541555556,5.084444444444444,5.360572993000001,13.0,177.0,640.0
TGO,Togo,3.655876203016801,6.0,6.067531348111111,5.680000000000001,5.873765674055556,26.0,179.0,610.0
THA,Thailand,6.0698195064769065,119.0,7.138150087555555,6.687777777777778,6.912963932666667,86.0,87.0,5950.0
TJK,Tajikistan,4.995398633620319,64.0,6.442607612000001,6.574285714285714,6.508446663142858,52.0,166.0,990.0
TTO,Trinidad and Tobago,6.2813890457153345,130.0,6.968704063111111,6.66,6.814352031555555,80.0,46.0,15340.0
TUN,Tunisia,4.72732390676226,50.0,6.154480672333333,6.522222222222222,6.338351447277778,44.0,123.0,3490.0
TUR,Turkey,5.192452066084918,73.0,6.931939313111111,6.8788888888888895,6.905414101000001,85.0,62.0,10940.0
TZA,Tanzania,3.693227094762465,7.0,6.442069021888889,6.683333333333334,6.562701177611111,57.0,167.0,920.0
UGA,Uganda,4.341111014871037,26.0,5.882960190555555,7.327777777777778,6.605368984166667,59.0,180.0,600.0
UKR,Ukraine,4.792345383588007,53.0,7.226454019999999,5.932222222222222,6.57933812111111,58.0,134.0,2390.0
URY,Uruguay,6.284347646376666,131.0,8.575500313444444,7.2155555555555555,7.8955279345,124.0,48.0,15250.0
USA,United States,7.075315363266888,151.0,8.711719123777778,7.897777777777778,8.304748450777778,145.0,8.0,59160.0
VNM,Vietnam,5.323625862598417,82.0,6.3299287060000005,6.335555555555556,6.332742130777778,43.0,140.0,2160.0
YEM,Yemen,3.914306351116725,10.0,3.0943668250000003,6.28,4.6871834125000005,3.0,158.0,1250.0
ZAF,South Africa,4.896811611512128,60.0,7.209171956777778,6.903333333333333,7.056252645055555,94.0,92.0,5430.0
ZMB,Zambia,4.47241596877575,38.0,6.201252714555555,7.050000000000001,6.625626357277778,61.0,156.0,1290.0
ZWE,Zimbabwe,3.7870729670805097,8.0,5.260316443222222,5.166666666666667,5.2134915549444445,12.0,163.0,1170.0
